nome;partido;uf;name_simplified
Elcione Barbalho;MDB;PA;elcione barbalho
Fabio Reis;MDB;SE;fabio reis
Flaviano Melo;MDB;AC;flaviano melo
Fábio Ramalho;MDB;MG;fabio ramalho
Giovani Feltes;MDB;RS;giovani feltes
Gutemberg Reis;MDB;RJ;gutemberg reis
Herculano Passos;MDB;SP;herculano passos
Hercílio Coelho Diniz;MDB;MG;hercilio coelho diniz
Hermes Parcianello;MDB;PR;hermes parcianello
Hildo Rocha;MDB;MA;hildo rocha
Isnaldo Bulhões Jr.;MDB;AL;isnaldo bulhoes jr
José Priante;MDB;PA;jose priante
João Marcelo Souza;MDB;MA;joao marcelo souza
Juarez Costa;MDB;MT;juarez costa
Jéssica Sales;MDB;AC;jessica sales
Leonardo Picciani;MDB;RJ;leonardo picciani
Lucio Mosquini;MDB;RO;lucio mosquini
Marcos Aurélio Sampaio;MDB;PI;marcos aurelio sampaio
Mauro Lopes;MDB;MG;mauro lopes
Moses Rodrigues;MDB;CE;moses rodrigues
Márcio Biolchi;MDB;RS;marcio biolchi
Newton Cardoso Jr;MDB;MG;newton cardoso jr
Osmar Terra;MDB;RS;osmar terra
Raul Henry;MDB;PE;raul henry
Renato Queiroz;MDB;RR;renato queiroz
Rogério Peninha Mendonça;MDB;SC;rogerio peninha mendonca
Sergio Souza;MDB;PR;sergio souza
Valtenir Pereira;MDB;MT;valtenir pereira
Vinicius Farah;MDB;RJ;vinicius farah
Walter Alves;MDB;RN;walter alves
Adriana Ventura;NOVO;SP;adriana ventura
Alexis Fonteyne;NOVO;SP;alexis fonteyne
Gilson Marques;NOVO;SC;gilson marques
Lucas Gonzalez;NOVO;MG;lucas gonzalez
Marcel van Hattem;NOVO;RS;marcel van hattem
Paulo Ganime;NOVO;RJ;paulo ganime
Tiago Mitraud;NOVO;MG;tiago mitraud
Vinicius Poit;NOVO;SP;vinicius poit
Ricardo da Karol;PATRI;RJ;ricardo da karol
Alcides Rodrigues;PATRIOTA;GO;alcides rodrigues
DR. FREDERICO;PATRIOTA;MG;dr frederico
FRED COSTA;PATRIOTA;MG;fred costa
Marreca Filho;PATRIOTA;MA;marreca filho
Pastor Eurico;PATRIOTA;PE;pastor eurico
ROMAN;PATRIOTA;PR;roman
Ricardo da Karol;PATRIOTA;RJ;ricardo da karol
Alice Portugal;PCdoB;BA;alice portugal
Daniel Almeida;PCdoB;BA;daniel almeida
Jandira Feghali;PCdoB;RJ;jandira feghali
Márcio Jerry;PCdoB;MA;marcio jerry
Orlando Silva;PCdoB;SP;orlando silva
PERPÉTUA ALMEIDA;PCdoB;AC;perpetua almeida
Professora Marcivania;PCdoB;AP;professora marcivania
Renildo Calheiros;PCdoB;PE;renildo calheiros
Rubens Pereira Júnior;PCdoB;MA;rubens pereira junior
Afonso Motta;PDT;RS;afonso motta
Alex Santana;PDT;BA;alex santana
André Figueiredo;PDT;CE;andre figueiredo
Chico D'Angelo;PDT;RJ;chico d'angelo
Dagoberto Nogueira;PDT;MS;dagoberto nogueira
Damião Feliciano;PDT;PB;damiao feliciano
Eduardo Bismarck;PDT;CE;eduardo bismarck
FLÁVIO NOGUEIRA;PDT;PI;flavio nogueira
Flávia Morais;PDT;GO;flavia morais
Fábio Henrique;PDT;SE;fabio henrique
Félix Mendonça Júnior;PDT;BA;felix mendonca junior
Gil Cutrim;PDT;MA;gil cutrim
Gustavo Fruet;PDT;PR;gustavo fruet
Idilvan Alencar;PDT;CE;idilvan alencar
